lower,higher,freq,webID
erilan,Halictus tripartitus,1,"2016,early"
esccal,Halictus tripartitus,6,"2016,early"
gilcap,Halictus tripartitus,1,"2016,early"
gricam,Halictus tripartitus,1,"2016,early"
lasgla,Halictus tripartitus,2,"2016,early"
limalb,Halictus tripartitus,2,"2016,early"
madele,Halictus tripartitus,1,"2016,early"
malsax,Halictus tripartitus,1,"2016,early"
nemmac,Halictus tripartitus,9,"2016,early"
nemmen,Halictus tripartitus,2,"2016,early"
phacil,Halictus tripartitus,5,"2016,early"
phatan,Halictus tripartitus,1,"2016,early"
sphamb,Halictus tripartitus,3,"2016,early"
antcor,Hoplitis producta gracilis,1,"2016,early"
phacal,Hoplitis producta gracilis,1,"2016,early"
phacil,Hoplitis producta gracilis,1,"2016,early"
phatan,Hoplitis producta gracilis,1,"2016,early"
ascfas,Hylaeus mesillae,1,"2016,early"
calcil,Hylaeus mesillae,3,"2016,early"
colhet,Hylaeus mesillae,1,"2016,early"
erilan,Hylaeus mesillae,1,"2016,early"
lasgla,Hylaeus mesillae,5,"2016,early"
limalb,Hylaeus mesillae,1,"2016,early"
lupfor,Hylaeus mesillae,1,"2016,early"
nemmen,Hylaeus mesillae,1,"2016,early"
phacal,Hylaeus mesillae,4,"2016,early"
phacam,Hylaeus mesillae,1,"2016,early"
phacil,Hylaeus mesillae,1,"2016,early"
phatan,Hylaeus mesillae,1,"2016,early"
scrcal,Hylaeus mesillae,13,"2016,early"
lasgla,Lasioglossum diversopunctatum,1,"2016,early"
calcil,Lasioglossum imbrex,3,"2016,early"
erilan,Lasioglossum imbrex,2,"2016,early"
esccal,Lasioglossum imbrex,5,"2016,early"
lasgla,Lasioglossum imbrex,1,"2016,early"
limalb,Lasioglossum imbrex,1,"2016,early"
esccal,Lasioglossum incompletum,1,"2016,early"
scrcal,Lasioglossum mellipes,2,"2016,early"
nemmen,Lasioglossum nevadense,1,"2016,early"
calcil,Lasioglossum tegulare gr.,1,"2016,early"
helann,Melissodes agilis,5,"2016,early"
phacam,Osmia lignaria propinqua,1,"2016,early"
phacal,Osmia regulina,1,"2016,early"
clawil,Xylocopa varipuncta,1,"2016,early"
monvil,Xylocopa varipuncta,1,"2016,early"
madele,Xylocopa_tabaniformis,1,"2016,early"
phacal,Xylocopa_tabaniformis,1,"2016,early"
helann,Agapostemon texanus,1,"2016,late"
helbol,Agapostemon texanus,3,"2016,late"
helcal,Agapostemon texanus,1,"2016,late"
trilan,Anthophora urbana,14,"2016,late"
trilan,Ashmeadiella aridula,7,"2016,late"
trilan,Ceratina arizonensis,3,"2016,late"
helbol,Diadasia_enavata,1,"2016,late"
gricam,Halictus ligatus,39,"2016,late"
helann,Halictus ligatus,11,"2016,late"
helbol,Halictus ligatus,9,"2016,late"
helcal,Halictus ligatus,3,"2016,late"
hetgra,Halictus ligatus,8,"2016,late"
symchi,Halictus ligatus,4,"2016,late"
trilan,Halictus ligatus,1,"2016,late"
camche,Halictus tripartitus,1,"2016,late"
gricam,Halictus tripartitus,1,"2016,late"
helann,Halictus tripartitus,1,"2016,late"
trilan,Hylaeus mesillae,8,"2016,late"
trilan,Lasioglossum diversopunctatum,1,"2016,late"
gricam,Lasioglossum imbrex,1,"2016,late"
trilan,Lasioglossum imbrex,18,"2016,late"
gricam,Lasioglossum incompletum,9,"2016,late"
helann,Lasioglossum incompletum,1,"2016,late"
helbol,Lasioglossum incompletum,1,"2016,late"
hetgra,Lasioglossum incompletum,1,"2016,late"
madele,Lasioglossum incompletum,1,"2016,late"
malsax,Lasioglossum incompletum,1,"2016,late"
trilan,Lasioglossum incompletum,66,"2016,late"
helann,Megachile apicalis,1,"2016,late"
trilan,Megachile prosopidis,1,"2016,late"
helann,Melissodes agilis,2,"2016,late"
helbol,Melissodes agilis,2,"2016,late"
helbol,Melissodes robustior,7,"2016,late"
trilan,Melissodes_tepida,1,"2016,late"
helann,svastra_obliqua,3,"2016,late"
helbol,svastra_obliqua,14,"2016,late"
helcal,svastra_obliqua,6,"2016,late"
madele,Xylocopa varipuncta,1,"2016,late"
madele,Xylocopa_tabaniformis,1,"2016,late"
oenela,Xylocopa_tabaniformis,1,"2016,late"
gricam,Agapostemon texanus,2,"2016,mid"
malsax,Agapostemon texanus,1,"2016,mid"
antcor,Anthidium manicatum,1,"2016,mid"
trilan,Anthophora urbana,3,"2016,mid"
lotsco,Ashmeadiella aridula,1,"2016,mid"
trilan,Ashmeadiella aridula,1,"2016,mid"
antcor,Ashmeadiella cactorum basalis,3,"2016,mid"
lotsco,Ashmeadiella cactorum basalis,1,"2016,mid"
lupfor,Bombus californicus,1,"2016,mid"
penhet,Bombus californicus,1,"2016,mid"
phatan,Ceratina arizonensis,1,"2016,mid"
sphamb,Diadasia consociata,1,"2016,mid"
sphamb,Diadasia ochracea,4,"2016,mid"
achmil,Halictus ligatus,1,"2016,mid"
camche,Halictus ligatus,1,"2016,mid"
gricam,Halictus ligatus,62,"2016,mid"
helann,Halictus ligatus,10,"2016,mid"
helbol,Halictus ligatus,6,"2016,mid"
helcal,Halictus ligatus,4,"2016,mid"
hetgra,Halictus ligatus,3,"2016,mid"
malsax,Halictus ligatus,4,"2016,mid"
sphamb,Halictus ligatus,1,"2016,mid"
camche,Halictus tripartitus,1,"2016,mid"
esccal,Halictus tripartitus,1,"2016,mid"
gilcap,Halictus tripartitus,2,"2016,mid"
helann,Halictus tripartitus,1,"2016,mid"
phatan,Halictus tripartitus,1,"2016,mid"
sphamb,Halictus tripartitus,1,"2016,mid"
trilan,Halictus tripartitus,1,"2016,mid"
ascfas,Hylaeus mesillae,2,"2016,mid"
scrcal,Hylaeus mesillae,4,"2016,mid"
ascfas,Lasioglossum imbrex,2,"2016,mid"
esccal,Lasioglossum imbrex,2,"2016,mid"
trilan,Lasioglossum imbrex,9,"2016,mid"
camche,Lasioglossum incompletum,2,"2016,mid"
esccal,Lasioglossum incompletum,1,"2016,mid"
gilcap,Lasioglossum incompletum,2,"2016,mid"
gricam,Lasioglossum incompletum,6,"2016,mid"
helann,Lasioglossum incompletum,1,"2016,mid"
lotsco,Lasioglossum incompletum,1,"2016,mid"
malsax,Lasioglossum incompletum,1,"2016,mid"
sphamb,Lasioglossum incompletum,1,"2016,mid"
trilan,Lasioglossum incompletum,29,"2016,mid"
gricam,Megachile fidelis,6,"2016,mid"
malsax,Megachile fidelis,2,"2016,mid"
gilcap,Megachile rotundata,3,"2016,mid"
lotsco,Megachile rotundata,5,"2016,mid"
malsax,Megachile rotundata,1,"2016,mid"
scrcal,Megachile rotundata,1,"2016,mid"
helann,Melissodes agilis,23,"2016,mid"
helbol,Melissodes agilis,3,"2016,mid"
helann,Melissodes robustior,5,"2016,mid"
helbol,Melissodes robustior,5,"2016,mid"
trilan,Melissodes_tepida,4,"2016,mid"
gricam,svastra_obliqua,3,"2016,mid"
helann,svastra_obliqua,21,"2016,mid"
helbol,svastra_obliqua,11,"2016,mid"
madele,svastra_obliqua,2,"2016,mid"
gricam,Triepeolus subnitens,1,"2016,mid"
helann,Triepeolus subnitens,1,"2016,mid"
gricam,Xylocopa_tabaniformis,1,"2016,mid"
madele,Xylocopa_tabaniformis,1,"2016,mid"
phatan,Andrena_chlorogaster,1,"2017,early"
lotsco,Anthidiellum_notatum,1,"2017,early"
antcor,Bombus californicus,1,"2017,early"
claung,Bombus californicus,1,"2017,early"
esccal,Bombus californicus,1,"2017,early"
lupden,Bombus californicus,5,"2017,early"
monvil,Bombus californicus,1,"2017,early"
penhet,Bombus californicus,1,"2017,early"
claung,Bombus vosnesenskii,4,"2017,early"
lotsco,Bombus vosnesenskii,8,"2017,early"
lupden,Bombus vosnesenskii,1,"2017,early"
penhet,Bombus vosnesenskii,3,"2017,early"
phacal,Bombus vosnesenskii,9,"2017,early"
phatan,Bombus vosnesenskii,4,"2017,early"
scrcal,Bombus vosnesenskii,4,"2017,early"
phacal,Bombus_crotchii,1,"2017,early"
phatan,Bombus_crotchii,2,"2017,early"
sphamb,Diadasia ochracea,1,"2017,early"
amsint,Eucera amsinckiae,2,"2017,early"
monvil,Eucera_frater,1,"2017,early"
achmil,Halictus ligatus,5,"2017,early"
erilan,Halictus ligatus,1,"2017,early"
esccal,Halictus ligatus,2,"2017,early"
lasfre,Halictus ligatus,1,"2017,early"
lasgla,Halictus ligatus,1,"2017,early"
limalb,Halictus ligatus,2,"2017,early"
calcil,Halictus tripartitus,1,"2017,early"
colhet,Halictus tripartitus,1,"2017,early"
esccal,Halictus tripartitus,1,"2017,early"
limalb,Halictus tripartitus,1,"2017,early"
phacil,Halictus tripartitus,4,"2017,early"
sphamb,Halictus tripartitus,2,"2017,early"
amsint,Halictus_confusus,1,"2017,early"
achmil,Hylaeus mesillae,2,"2017,early"
calcil,Lasioglossum imbrex,3,"2017,early"
camche,Lasioglossum imbrex,1,"2017,early"
esccal,Lasioglossum imbrex,2,"2017,early"
nemmac,Lasioglossum imbrex,2,"2017,early"
lasfre,Lasioglossum incompletum,1,"2017,early"
lasgla,Lasioglossum mellipes,1,"2017,early"
phacil,Lasioglossum mellipes,1,"2017,early"
scrcal,Lasioglossum mellipes,1,"2017,early"
calcil,Lasioglossum punctatoventre,1,"2017,early"
lasfre,Lasioglossum punctatoventre,1,"2017,early"
phacil,Lasioglossum punctatoventre,3,"2017,early"
phatan,Lasioglossum punctatoventre,1,"2017,early"
lasgla,Lasioglossum tegulariforme,1,"2017,early"
calcil,Lasioglossum_megastictum,1,"2017,early"
limalb,Lasioglossum_megastictum,1,"2017,early"
phacil,Lasioglossum_megastictum,1,"2017,early"
calcil,Megachile rotundata,1,"2017,early"
lotsco,Megachile rotundata,3,"2017,early"
claung,Megachile_gentilis,1,"2017,early"
sphamb,Melissodes_communis,1,"2017,early"
phacil,Melissodes_lupina,1,"2017,early"
lotsco,Osmia regulina,1,"2017,early"
lotsco,Osmia_aglaia,1,"2017,early"
colhet,Osmia_glauca,1,"2017,early"
limalb,Osmia_glauca,2,"2017,early"
nemmen,Osmia_glauca,2,"2017,early"
lotsco,Osmia_laeta,4,"2017,early"
limalb,Osmia_lignaria,2,"2017,early"
achmil,sphecodes_spp,1,"2017,early"
achmil,Xylocopa varipuncta,1,"2017,early"
madele,Xylocopa varipuncta,1,"2017,early"
monvil,Xylocopa varipuncta,1,"2017,early"
nemmac,Xylocopa varipuncta,1,"2017,early"
gricam,Agapostemon texanus,1,"2017,late"
helann,Agapostemon texanus,2,"2017,late"
helbol,Agapostemon texanus,4,"2017,late"
helcal,Agapostemon texanus,1,"2017,late"
madele,Agapostemon texanus,5,"2017,late"
malsax,Agapostemon texanus,6,"2017,late"
oenela,Agapostemon texanus,2,"2017,late"
sphamb,Agapostemon texanus,1,"2017,late"
